organism_name	species_id	data_type	qv_score	error_rate	assembly_accession	size_mb	date	modify_date	taxid	bioproject_accession	bioproject_id	group	subgroup	gc%	replicons	wgs	scaffolds	genes	proteins	release_date	status	center	biosample_accession
Chelmon rostratus	fCheRos1	10x	58.191	1.52E-06	GCA_017976325.1	644.208	09/13/19	4/15/21	109905	PRJNA734320	734320	Animals	Fishes	42.569	chromosome 1:NC_055658.1/CM030613.1; chromosome 2:NC_055659.1/CM030614.1; chromosome 3:NC_055660.1/CM030615.1; chromosome 4:NC_055661.1/CM030616.1; chromosome 5:NC_055662.1/CM030617.1; chromosome 6:NC_055663.1/CM030618.1; chromosome 7:NC_055664.1/CM030619.1; chromosome 8:NC_055665.1/CM030620.1; chromosome 9:NC_055666.1/CM030621.1; chromosome 10:NC_055667.1/CM030622.1; chromosome 11:NC_055668.1/CM030623.1; chromosome 12:NC_055669.1/CM030624.1; chromosome 13:NC_055670.1/CM030625.1; chromosome 14:NC_055671.1/CM030626.1; chromosome 15:NC_055672.1/CM030627.1; chromosome 16:NC_055673.1/CM030628.1; chromosome 17:NC_055674.1/CM030629.1; chromosome 18:NC_055675.1/CM030630.1; chromosome 19:NC_055676.1/CM030631.1; chromosome 20:NC_055677.1/CM030632.1; chromosome 21:NC_055678.1/CM030633.1; chromosome 22:NC_055679.1/CM030634.1; chromosome 23:NC_055680.1/CM030635.1; chromosome 24:NC_055681.1/CM030636.1; mitochondrion MT:NC_025953.1/CM030678.1	JAGIYV01	29	24046	33912	4/15/21	Chromosome	NCBI	SAMN12623620
Chelonia mydas	rCheMyd1	10x	47.6612	1.71E-05	GCA_015237465.2	2134.38	06/21/19	7/15/21	8469	PRJNA675851	675851	Animals	Reptiles	44.0473	chromosome 1:NC_057849.1/CM026898.1; chromosome 2:NC_057850.1/CM026899.1; chromosome 3:NC_057851.1/CM026900.1; chromosome 4:NC_057852.1/CM026901.1; chromosome 5:NC_051245.2/CM026902.2; chromosome 6:NC_051246.2/CM026903.2; chromosome 7:NC_057853.1/CM026904.1; chromosome 8:NC_057854.1/CM026905.1; chromosome 9:NC_057855.1/CM026906.1; chromosome 10:NC_051250.2/CM026907.2; chromosome 11:NC_051251.2/CM026908.2; chromosome 12:NC_051252.2/CM026909.2; chromosome 13:NC_051253.2/CM026910.2; chromosome 14:NC_051254.2/CM026911.2; chromosome 15:NC_057856.1/CM026912.1; chromosome 16:NC_057857.1/CM026913.1; chromosome 17:NC_051257.2/CM026914.2; chromosome 18:NC_051258.2/CM026915.2; chromosome 19:NC_051259.2/CM026916.2; chromosome 20:NC_051260.2/CM026917.2; chromosome 21:NC_051261.2/CM026918.2; chromosome 22:NC_051262.2/CM026919.2; chromosome 23:NC_051263.2/CM026920.2; chromosome 24:NC_051264.2/CM026921.2; chromosome 25:NC_057858.1/CM026922.1; chromosome 26:NC_057859.1/CM026923.1; chromosome 27:NC_057860.1/CM026924.1; chromosome 28:NC_051268.2/CM026925.2; mitochondrion MT:NC_000886.1/	JADCQM02	93	28491	71110	11/2/20	Chromosome	NCBI	SAMN12612360
Chiroxiphia lanceolata	bChiLan1	10x	36.5875	0.00021941	GCA_009829145.1	1089.63	08/31/18	1/3/20	296741	PRJNA603801	603801	Animals	Birds	41.9876	chromosome 1:NC_045637.1/CM020533.1; chromosome 2:NC_045638.1/CM020534.1; chromosome 3:NC_045639.1/CM020535.1; chromosome 4:NC_045640.1/CM020536.1; chromosome 5:NC_045641.1/CM020537.1; chromosome 6:NC_045642.1/CM020538.1; chromosome 7:NC_045643.1/CM020539.1; chromosome 8:NC_045644.1/CM020540.1; chromosome 9:NC_045645.1/CM020541.1; chromosome 10:NC_045646.1/CM020542.1; chromosome 11:NC_045647.1/CM020543.1; chromosome 12:NC_045648.1/CM020544.1; chromosome 13:NC_045649.1/CM020545.1; chromosome 14:NC_045650.1/CM020546.1; chromosome 15:NC_045651.1/CM020547.1; chromosome 16:NC_045652.1/CM020548.1; chromosome 17:NC_045653.1/CM020549.1; chromosome 18:NC_045654.1/CM020550.1; chromosome 19:NC_045655.1/CM020551.1; chromosome 20:NC_045656.1/CM020552.1; chromosome 21:NC_045657.1/CM020553.1; chromosome 22:NC_045658.1/CM020554.1; chromosome 23:NC_045659.1/CM020555.1; chromosome 24:NC_045660.1/CM020556.1; chromosome 25:NC_045661.1/CM020557.1; chromosome 26:NC_045662.1/CM020558.1; chromosome 27:NC_045663.1/CM020559.1; chromosome 28:NC_045664.1/CM020560.1; chromosome 29:NC_045665.1/CM020561.1; chromosome 30:NC_045666.1/CM020562.1; chromosome 31:NC_045667.1/CM020563.1; chromosome 32:NC_045668.1/CM020564.1; chromosome 33:NC_045669.1/CM020565.1; chromosome W:NC_045670.1/CM020567.1; chromosome Z:NC_045671.1/CM020566.1	WNMC01	93	20299	39412	1/3/20	Chromosome	NCBI	SAMN12620979
Ciconia maguari	bCicMag1	10x	36.7071	0.00021345	GCA_017639555.1	1239.44	03/03/20	3/30/21	52777	PRJNA715733	715733	Animals	Birds	42.0189	chromosome 1:CM030193.1; chromosome 2:CM030194.1; chromosome 3:CM030195.1; chromosome 4:CM030196.1; chromosome 5:CM030197.1; chromosome 6:CM030198.1; chromosome 7:CM030199.1; chromosome 8:CM030200.1; chromosome 9:CM030201.1; chromosome 10:CM030202.1; chromosome 11:CM030203.1; chromosome 12:CM030204.1; chromosome 13:CM030205.1; chromosome 14:CM030206.1; chromosome 15:CM030207.1; chromosome 16:CM030208.1; chromosome 17:CM030209.1; chromosome 18:CM030210.1; chromosome 19:CM030211.1; chromosome 20:CM030212.1; chromosome 21:CM030213.1; chromosome 22:CM030214.1; chromosome 23:CM030215.1; chromosome 24:CM030216.1; chromosome 25:CM030217.1; chromosome 26:CM030218.1; chromosome 27:CM030219.1; chromosome 28:CM030220.1; chromosome 29:CM030221.1; chromosome W:CM030222.1; chromosome Z:CM030223.1; mitochondrion MT:CM030224.1	JAGFVN01	153	-	-	3/30/21	Chromosome	Vertebrate Genomes Project	SAMN18353822
Corvus hawaiiensis	bCorHaw1	Pacbio_hifi	42.4222	5.73E-05	GCA_020740725.1	1151.61	03/18/21	11/4/21	134902	PRJNA838000	838000	Animals	Birds	43.3154	chromosome 1:NC_063213.1/CM036346.1; chromosome 2:NC_063214.1/CM036347.1; chromosome 3:NC_063215.1/CM036348.1; chromosome 4:NC_063216.1/CM036349.1; chromosome 5:NC_063217.1/CM036350.1; chromosome 6:NC_063218.1/CM036351.1; chromosome 7:NC_063219.1/CM036352.1; chromosome 8:NC_063220.1/CM036353.1; chromosome 9:NC_063221.1/CM036354.1; chromosome 10:NC_063222.1/CM036355.1; chromosome 11:NC_063223.1/CM036356.1; chromosome 12:NC_063224.1/CM036357.1; chromosome 13:NC_063225.1/CM036358.1; chromosome 14:NC_063226.1/CM036359.1; chromosome 15:NC_063227.1/CM036360.1; chromosome 16:NC_063228.1/CM036361.1; chromosome 17:NC_063229.1/CM036362.1; chromosome 18:NC_063230.1/CM036363.1; chromosome 19:NC_063231.1/CM036364.1; chromosome 20:NC_063232.1/CM036365.1; chromosome 21:NC_063233.1/CM036366.1; chromosome 22:NC_063234.1/CM036367.1; chromosome 23:NC_063235.1/CM036368.1; chromosome 24:NC_063236.1/CM036369.1; chromosome 25:NC_063237.1/CM036370.1; chromosome 26:NC_063238.1/CM036371.1; chromosome 27:NC_063239.1/CM036372.1; chromosome 28:NC_063240.1/CM036373.1; chromosome 29:NC_063241.1/CM036374.1; chromosome 30:NC_063242.1/CM036375.1; chromosome 31:NC_063243.1/CM036376.1; chromosome 32:NC_063244.1/CM036377.1; chromosome 33:NC_063245.1/CM036378.1; chromosome 34:NC_063246.1/CM036379.1; chromosome 35:NC_063247.1/CM036380.1; chromosome 36:NC_063248.1/CM036381.1; chromosome 37:NC_063249.1/CM036382.1; chromosome 38:NC_063250.1/CM036383.1; chromosome 39:NC_063251.1/CM036384.1; chromosome 40:NC_063252.1/CM036385.1; chromosome 41:NC_063253.1/CM036386.1; chromosome W:NC_063254.1/CM036387.1; chromosome Z:NC_063255.1/CM036388.1; mitochondrion MT:NC_026783.1/	JAJGSY01	188	21647	43147	11/3/21	Chromosome	NCBI	SAMN22550278
Corvus moneduloides	bCorMon1	10x	43.905	4.07E-05	GCA_009650955.1	1112.73	03/15/19	11/18/19	1196302	PRJNA599199	599199	Animals	Birds	42.7655	chromosome 1:NC_045476.1/CM018807.1; chromosome 2:NC_045477.1/CM018808.1; chromosome 3:NC_045478.1/CM018809.1; chromosome 4:NC_045479.1/CM018810.1; chromosome 5:NC_045480.1/CM018811.1; chromosome 6:NC_045481.1/CM018812.1; chromosome 7:NC_045482.1/CM018813.1; chromosome 8:NC_045483.1/CM018814.1; chromosome 9:NC_045484.1/CM018815.1; chromosome 10:NC_045485.1/CM018816.1; chromosome 11:NC_045486.1/CM018817.1; chromosome 12:NC_045487.1/CM018818.1; chromosome 13:NC_045488.1/CM018819.1; chromosome 14:NC_045489.1/CM018820.1; chromosome 15:NC_045490.1/CM018821.1; chromosome 16:NC_045491.1/CM018822.1; chromosome 17:NC_045492.1/CM018823.1; chromosome 18:NC_045493.1/CM018824.1; chromosome 19:NC_045494.1/CM018825.1; chromosome 20:NC_045495.1/CM018826.1; chromosome 21:NC_045496.1/CM018827.1; chromosome 22:NC_045497.1/CM018828.1; chromosome 23:NC_045498.1/CM018829.1; chromosome 24:NC_045499.1/CM018830.1; chromosome 25:NC_045500.1/CM018831.1; chromosome 26:NC_045501.1/CM018832.1; chromosome 27:NC_045502.1/CM018833.1; chromosome 28:NC_045503.1/CM018834.1; chromosome 29:NC_045504.1/CM018835.1; chromosome 30:NC_045505.1/CM018836.1; chromosome 31:NC_045506.1/CM018837.1; chromosome 32:NC_045507.1/CM018838.1; chromosome 33:NC_045508.1/CM018839.1; chromosome 34:NC_045509.1/CM018840.1; chromosome W:NC_045510.1/CM018842.1; chromosome Z:NC_045511.1/CM018841.1; mitochondrion MT:CM018859.1	WHPO01	105	20781	43047	11/12/19	Chromosome	NCBI	SAMN12368441
Cottoperca gobio	fCotGob3	10x	33.5793	0.0004386	GCA_900634415.1	609.392	02/23/18	12/17/18	56716	PRJEB30248	509401	Animals	Fishes	40.9976	chromosome 1:NC_041355.1/LR131916.1; chromosome 2:NC_041356.1/LR131927.1; chromosome 3:NC_041357.1/LR131933.1; chromosome 4:NC_041358.1/LR131934.1; chromosome 5:NC_041359.1/LR131935.1; chromosome 6:NC_041360.1/LR131936.1; chromosome 7:NC_041361.1/LR131937.1; chromosome 8:NC_041362.1/LR131938.1; chromosome 9:NC_041363.1/LR131939.1; chromosome 10:NC_041364.1/LR131917.1; chromosome 11:NC_041365.1/LR131918.1; chromosome 12:NC_041366.1/LR131919.1; chromosome 13:NC_041367.1/LR131920.1; chromosome 14:NC_041368.1/LR131921.1; chromosome 15:NC_041369.1/LR131922.1; chromosome 16:NC_041370.1/LR131923.1; chromosome 17:NC_041371.1/LR131924.1; chromosome 18:NC_041372.1/LR131925.1; chromosome 19:NC_041373.1/LR131926.1; chromosome 20:NC_041374.1/LR131928.1; chromosome 21:NC_041375.1/LR131929.1; chromosome 22:NC_041376.1/LR131930.1; chromosome 23:NC_041377.1/LR131931.1; chromosome 24:NC_041378.1/LR131932.1	CAAAFJ01	322	25595	37849	12/15/18	Chromosome	Wellcome Sanger Institute	SAMEA104242975
Cuculus canorus	bCucCan1	10x	43.1999	4.79E-05	GCA_017976375.1	1180.14	03/26/19	4/15/21	55661	PRJNA939222	939222	Animals	Birds	42.2067	chromosome 1:CM030637.1; chromosome 2:CM030638.1; chromosome 3:CM030639.1; chromosome 4:CM030640.1; chromosome 5:CM030641.1; chromosome 6:CM030642.1; chromosome 7:CM030643.1; chromosome 8:CM030644.1; chromosome 9:CM030645.1; chromosome 10:CM030646.1; chromosome 11:CM030647.1; chromosome 12:CM030648.1; chromosome 13:CM030649.1; chromosome 14:CM030650.1; chromosome 15:CM030651.1; chromosome 16:CM030652.1; chromosome 17:CM030653.1; chromosome 18:CM030654.1; chromosome 19:CM030655.1; chromosome 20:CM030656.1; chromosome 21:CM030657.1; chromosome 22:CM030658.1; chromosome 23:CM030659.1; chromosome 24:CM030660.1; chromosome 25:CM030661.1; chromosome 26:CM030662.1; chromosome 27:CM030663.1; chromosome 28:CM030664.1; chromosome 29:CM030665.1; chromosome 30:CM030666.1; chromosome 31:CM030667.1; chromosome 32:CM030668.1; chromosome 33:CM030669.1; chromosome 34:CM030670.1; chromosome 35:CM030671.1; chromosome 36:CM030672.1; chromosome 37:CM030673.1; chromosome 38:CM030674.1; chromosome 39:CM030675.1; chromosome W:CM030676.1; chromosome Z:CM030677.1; mitochondrion MT:CM030679.1	JAGIYT01	150	-	-	4/15/21	Chromosome	NCBI	SAMN12629508
Cyclopterus lumpus	fCycLum1	10x	39.6228	0.00010907	GCA_009769545.1	572.886	08/05/19	12/19/19	8103	PRJNA625538	625538	Animals	Fishes	42.9507	chromosome 1:NC_046966.1/CM020114.1; chromosome 2:NC_046967.1/CM020115.1; chromosome 3:NC_046968.1/CM020116.1; chromosome 4:NC_046969.1/CM020117.1; chromosome 5:NC_046970.1/CM020118.1; chromosome 6:NC_046971.1/CM020119.1; chromosome 7:NC_046972.1/CM020120.1; chromosome 8:NC_046973.1/CM020121.1; chromosome 9:NC_046974.1/CM020122.1; chromosome 10:NC_046975.1/CM020123.1; chromosome 11:NC_046976.1/CM020124.1; chromosome 12:NC_046977.1/CM020125.1; chromosome 13:NC_046978.1/CM020126.1; chromosome 14:NC_046979.1/CM020127.1; chromosome 15:NC_046980.1/CM020128.1; chromosome 16:NC_046981.1/CM020129.1; chromosome 17:NC_046982.1/CM020130.1; chromosome 18:NC_046983.1/CM020131.1; chromosome 19:NC_046984.1/CM020132.1; chromosome 20:NC_046985.1/CM020133.1; chromosome 21:NC_046986.1/CM020134.1; chromosome 22:NC_046987.1/CM020135.1; chromosome 23:NC_046988.1/CM020136.1; chromosome 24:NC_046989.1/CM020137.1; chromosome 25:NC_046990.1/CM020138.1; mitochondrion MT:CM020140.1	WNNC01	48	26630	38625	12/19/19	Chromosome	NCBI	SAMN12629502
Cygnus olor	bCygOlo1	10x	38.1137	0.0001544	GCA_009769625.2	1134.19	03/21/19	3/31/21	8869	PRJNA642912	642912	Animals	Birds	41.9886	chromosome 1:NC_049169.1/CM020065.2; chromosome 2:NC_049170.1/CM020066.2; chromosome 3:NC_049171.1/CM020067.2; chromosome 4:NC_049172.1/CM020068.2; chromosome 5:NC_049173.1/CM020069.2; chromosome 6:NC_049174.1/CM020070.2; chromosome 7:NC_049175.1/CM020071.2; chromosome 8:NC_049176.1/CM020072.2; chromosome 9:NC_049177.1/CM020073.2; chromosome 10:NC_049178.1/CM020074.2; chromosome 11:NC_049179.1/CM020075.2; chromosome 12:NC_049180.1/CM020076.2; chromosome 13:NC_049181.1/CM020077.2; chromosome 14:NC_049182.1/CM020078.2; chromosome 15:NC_049183.1/CM020079.2; chromosome 16:NC_049184.1/CM020080.2; chromosome 17:NC_049185.1/CM020081.2; chromosome 18:NC_049186.1/CM020082.2; chromosome 19:NC_049187.1/CM020083.2; chromosome 20:NC_049188.1/CM020084.2; chromosome 21:NC_049189.1/CM020085.2; chromosome 22:NC_049190.1/CM020086.2; chromosome 23:NC_049191.1/CM020087.2; chromosome 24:NC_049192.1/CM020088.2; chromosome 25:NC_049193.1/CM020089.2; chromosome 26:NC_049194.1/CM020090.2; chromosome 27:NC_049195.1/CM020091.2; chromosome 28:NC_049196.1/CM020092.2; chromosome 29:NC_049197.1/CM020093.2; chromosome 30:NC_054087.1/CM030310.1; chromosome 31:NC_054088.1/CM030311.1; chromosome 32:NC_054089.1/CM030312.1; chromosome 33:NC_054090.1/CM030313.1; chromosome 34:NC_054091.1/CM030314.1; chromosome Z:NC_049198.1/CM020094.2; chromosome W:NC_049199.1/CM020095.2; mitochondrion MT:NC_027096.1/CM020139.1	WNMI02	171	23209	47794	12/19/19	Chromosome	NCBI	SAMN12621369
Cynocephalus volans	mCynVol1	Pacbio_hifi	69.551	1.11E-07	GCA_027409185.1	2814.43	12/02/21	12/28/22	110931	PRJNA911844	911844	Animals	Mammals	40.2366	chromosome 1:CM050027.1; chromosome 2:CM050028.1; chromosome 3:CM050029.1; chromosome 4:CM050030.1; chromosome 5:CM050031.1; chromosome 6:CM050032.1; chromosome 7:CM050033.1; chromosome 8:CM050034.1; chromosome 9:CM050035.1; chromosome 10:CM050036.1; chromosome 11:CM050037.1; chromosome 12:CM050038.1; chromosome 13:CM050039.1; chromosome 14:CM050040.1; chromosome 15:CM050041.1; chromosome 16:CM050042.1; chromosome 17:CM050043.1; chromosome 18:CM050044.1; chromosome X:CM050045.1; chromosome Y:CM050046.1; mitochondrion MT:CM050047.1	JAPWCP01	131	-	-	12/27/22	Chromosome	Vertebrate Genomes Project	SAMN32206947
Danio rerio	fDreABH1	Illumina	34.7691	0.0003335	GCA_903684865.1	1354.08	08/25/19	5/30/20	7955	PRJEB38589	636073	Animals	Fishes	36.5821	chromosome 1:LR812038.1; chromosome 2:LR812039.1; chromosome 3:LR812040.1; chromosome 4:LR812041.1; chromosome 5:LR812042.1; chromosome 6:LR812043.1; chromosome 7:LR812044.1; chromosome 8:LR812045.1; chromosome 9:LR812046.1; chromosome 10:LR812047.1; chromosome 11:LR812048.1; chromosome 12:LR812049.1; chromosome 13:LR812050.1; chromosome 14:LR812051.1; chromosome 15:LR812052.1; chromosome 16:LR812053.1; chromosome 17:LR812054.1; chromosome 18:LR812055.1; chromosome 19:LR812056.1; chromosome 20:LR812057.1; chromosome 21:LR812058.1; chromosome 22:LR812059.1; chromosome 23:LR812060.1; chromosome 24:LR812061.1; chromosome 25:LR812062.1	CAHPTA01	1252	-	-	5/30/20	Chromosome	Wellcome Sanger Institute	SAMEA4760846
Danio rerio	fDreTuH1	Illumina	33.2054	0.00047804	GCA_903684855.2	1360.51	08/25/19	6/30/20	7955	PRJEB38588	636072	Animals	Fishes	36.5563	chromosome 1:LR812063.1; chromosome 2:LR812064.1; chromosome 3:LR812065.1; chromosome 4:LR812066.1; chromosome 5:LR812067.1; chromosome 6:LR812068.1; chromosome 7:LR812069.1; chromosome 8:LR812070.1; chromosome 9:LR812071.1; chromosome 10:LR812072.1; chromosome 11:LR812073.1; chromosome 12:LR812074.1; chromosome 13:LR812075.1; chromosome 14:LR812076.1; chromosome 15:LR812077.1; chromosome 16:LR812078.1; chromosome 17:LR812079.1; chromosome 18:LR812080.1; chromosome 19:LR812081.1; chromosome 20:LR812082.1; chromosome 21:LR812083.1; chromosome 22:LR812084.1; chromosome 23:LR812085.1; chromosome 24:LR812086.1; chromosome 25:LR812087.1; mitochondrion MT:LR822066.1	CAHPTB02	755	-	-	5/30/20	Chromosome	Wellcome Sanger Institute	SAMEA4760849
Dendropsophus ebraccatus	aDenEbr1	10x	37.9059	0.00016196	GCA_027789765.1	2214.94	04/29/19	1/9/23	150705	PRJNA910819	910819	Animals	Amphibians	43.9806	chromosome 1:CM051056.1; chromosome 2:CM051057.1; chromosome 3:CM051058.1; chromosome 4:CM051059.1; chromosome 5:CM051060.1; chromosome 6:CM051061.1; chromosome 7:CM051062.1; chromosome 8:CM051063.1; chromosome 9:CM051064.1; chromosome 10:CM051065.1; chromosome 11:CM051066.1; chromosome 12:CM051067.1; chromosome 13:CM051068.1; chromosome 14:CM051069.1; chromosome 15:CM051070.1	JAQFWY01	2200	-	-	1/9/23	Chromosome	Vertebrate Genomes Project	SAMN32145295
Denticeps clupeoides	fDenClu1	10x	39.7002	0.00010715	GCA_900700375.1	567.401	02/26/18	6/30/20	299321	PRJEB31545	525812	Animals	Fishes	43.744	chromosome 1:NC_041707.1/LR535813.1; chromosome 2:NC_041708.1/LR535814.1; chromosome 3:NC_041709.1/LR535815.1; chromosome 4:NC_041710.1/LR535816.1; chromosome 5:NC_041711.1/LR535817.1; chromosome 6:NC_041712.1/LR535818.1; chromosome 7:NC_041713.1/LR535819.1; chromosome 8:NC_041714.1/LR535820.1; chromosome 9:NC_041715.1/LR535821.1; chromosome 10:NC_041716.1/LR535822.1; chromosome 11:NC_041717.1/LR535823.1; chromosome 12:NC_041718.1/LR535824.1; chromosome 13:NC_041719.1/LR535825.1; chromosome 14:NC_041720.1/LR535826.1; chromosome 15:NC_041721.1/LR535827.1; chromosome 16:NC_041722.1/LR535828.1; chromosome 17:NC_041723.1/LR535829.1; chromosome 18:NC_041724.1/LR535830.1; chromosome 19:NC_041725.1/LR535831.1; chromosome 20:NC_041726.1/LR535832.1	CAADHS01	460	40130	50058	3/14/19	Chromosome	Wellcome Sanger Institute	SAMEA104129917
Dermochelys coriacea	rDerCor1	10x	38.9963	0.000126	GCA_009764565.4	2164.76	06/01/18	8/25/21	27794	PRJNA655518	655518	Animals	Reptiles	43.3707	chromosome 1:NC_050068.2/CM019935.3; chromosome 2:NC_050069.1/CM019936.3; chromosome 3:NC_050070.1/CM019937.2; chromosome 4:NC_050071.1/CM019938.2; chromosome 5:NC_050072.1/CM019939.2; chromosome 6:NC_050073.1/CM019940.2; chromosome 7:NC_050074.1/CM019941.2; chromosome 8:NC_050075.1/CM019942.2; chromosome 9:NC_050076.1/CM019943.2; chromosome 10:NC_050077.1/CM019944.2; chromosome 11:NC_050078.2/CM019945.3; chromosome 12:NC_050079.1/CM019946.2; chromosome 13:NC_050080.1/CM019947.2; chromosome 14:NC_050081.1/CM019948.2; chromosome 15:NC_050082.1/CM019949.2; chromosome 16:NC_050083.1/CM019950.2; chromosome 17:NC_050084.1/CM019951.2; chromosome 18:NC_050085.1/CM019952.2; chromosome 19:NC_050086.2/CM019953.4; chromosome 20:NC_050087.2/CM019954.4; chromosome 21:NC_050088.1/CM019955.3; chromosome 22:NC_050089.1/CM019956.3; chromosome 23:NC_050090.1/CM019957.2; chromosome 24:NC_050091.1/CM019958.2; chromosome 25:NC_050092.1/CM019959.2; chromosome 26:NC_050093.1/CM019960.2; chromosome 27:NC_050094.1/CM019961.3; chromosome 28:NC_050095.1/CM019962.2; mitochondrion MT:CM019965.1	WSPL04	40	27589	61126	12/18/19	Chromosome	NCBI	SAMN12629498
Diceros bicornis minor	mDicBic1.mat	Pacbio_hifi	55.4807	2.83E-06	GCA_020826845.1	3005.52	11/10/21	11/10/21	77932	PRJNA773944	773944	Animals	Mammals	41.5838	chromosome 1:CM036946.1; chromosome 2:CM036947.1; chromosome 3:CM036948.1; chromosome 4:CM036949.1; chromosome 5:CM036950.1; chromosome 6:CM036951.1; chromosome 7:CM036952.1; chromosome 8:CM036953.1; chromosome 9:CM036954.1; chromosome 10:CM036955.1; chromosome 11:CM036956.1; chromosome 12:CM036957.1; chromosome 13:CM036958.1; chromosome 14:CM036959.1; chromosome 15:CM036960.1; chromosome 16:CM036961.1; chromosome 17:CM036962.1; chromosome 18:CM036963.1; chromosome 19:CM036964.1; chromosome 20:CM036965.1; chromosome 21:CM036966.1; chromosome 22:CM036967.1; chromosome 23:CM036968.1; chromosome 24:CM036969.1; chromosome 25:CM036970.1; chromosome 26:CM036971.1; chromosome 27:CM036972.1; chromosome 28:CM036973.1; chromosome 29:CM036974.1; chromosome 30:CM036975.1; chromosome 31:CM036976.1; chromosome 32:CM036977.1; chromosome 33:CM036978.1; chromosome 34:CM036979.1; chromosome 35:CM036980.1; chromosome 36:CM036981.1; chromosome 37:CM036982.1; chromosome 38:CM036983.1; chromosome 39:CM036984.1; chromosome 40:CM036985.1; chromosome 41:CM036986.1; chromosome X:CM036987.1	JAJIAY01	1075	-	-	11/10/21	Chromosome	Vertebrate Genomes Project	SAMN22047685
Diceros bicornis minor	mDicBic1.pat	Pacbio_hifi	55.1677	3.04E-06	GCA_020826835.1	3044.79	11/10/21	11/10/21	77932	PRJNA773943	773943	Animals	Mammals	41.5	-	JAJIAZ01	1199	-	-	11/10/21	Scaffold	Vertebrate Genomes Project	SAMN22047685
Discoglossus pictus	aDisPic1	10x	41.4443	7.17E-05	GCA_027410445.1	3872.6	11/05/20	12/28/22	8351	PRJNA912129	912129	Animals	Amphibians	39.4866	chromosome 1:CM050163.1; chromosome 2:CM050164.1; chromosome 3:CM050165.1; chromosome 4:CM050166.1; chromosome 5:CM050167.1; chromosome 6:CM050168.1; chromosome 7:CM050169.1; chromosome 8:CM050170.1; chromosome 9:CM050171.1; chromosome 10:CM050172.1; chromosome 11:CM050173.1; chromosome 12:CM050174.1; chromosome 13:CM050175.1; chromosome 14:CM050176.1; mitochondrion MT:CM050223.1	JAPZIH01	1318	-	-	12/27/22	Chromosome	Vertebrate Genomes Project	SAMN32227109
Dromiciops gliroides	mDroGli1	10x	35.8492	0.00026006	GCA_019393635.1	3303.2	09/28/20	8/3/21	33562	PRJNA764759	764759	Animals	Mammals	39.1175	chromosome 1:NC_057861.1/CM033365.1; chromosome 2:NC_057862.1/CM033366.1; chromosome 3:NC_057863.1/CM033367.1; chromosome 4:NC_057864.1/CM033368.1; chromosome 5:NC_057865.1/CM033369.1; chromosome 6:NC_057866.1/CM033370.1; chromosome X:NC_057867.1/CM033371.1; mitochondrion MT:CM033468.1	JAHYBR01	17	31081	43302	7/29/21	Chromosome	NCBI	SAMN18857598
Dryobates pubescens	bDryPub1	10x	50.2008	9.55E-06	GCA_014839835.1	1187.94	07/18/19	10/2/20	118200	PRJNA940839	940839	Animals	Birds	45.3216	chromosome 1:CM025994.1; chromosome 2:CM025995.1; chromosome 3:CM025996.1; chromosome 4:CM025997.1; chromosome 5:CM025998.1; chromosome 6:CM025999.1; chromosome 7:CM026000.1; chromosome 8:CM026001.1; chromosome 9:CM026002.1; chromosome 10:CM026003.1; chromosome 11:CM026004.1; chromosome 12:CM026005.1; chromosome 13:CM026006.1; chromosome 14:CM026007.1; chromosome 15:CM026008.1; chromosome 16:CM026009.1; chromosome 17:CM026010.1; chromosome 18:CM026011.1; chromosome 19:CM026012.1; chromosome 20:CM026013.1; chromosome 21:CM026014.1; chromosome 22:CM026015.1; chromosome 23:CM026016.1; chromosome 24:CM026017.1; chromosome 25:CM026018.1; chromosome 26:CM026019.1; chromosome 27:CM026020.1; chromosome 28:CM026021.1; chromosome 29:CM026022.1; chromosome 30:CM026023.1; chromosome 31:CM026024.1; chromosome 32:CM026025.1; chromosome 33:CM026026.1; chromosome 34:CM026027.1; chromosome 35:CM026028.1; chromosome 36:CM026029.1; chromosome 37:CM026030.1; chromosome 38:CM026031.1; chromosome 39:CM026032.1; chromosome 40:CM026033.1; chromosome 41:CM026034.1; chromosome 42:CM026035.1; chromosome 43:CM026036.1; chromosome 44:CM026037.1; chromosome W:CM026038.1; chromosome Z:CM026039.1; mitochondrion MT:CM026040.1	JACNMV01	180	-	-	9/30/20	Chromosome	NCBI	SAMN12629497
